,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,26.0,6.0,0.6249999804687506,0.022695035444897135,27.91,3.43,12.536000000000001,27.91,89.0,4.33,553.0,1088.0,4.33
1,blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,46.0,25.0,0.2957746437214839,0.04248952720377646,29.7,5.02,13.888,29.7,146.0,4.69,801.0,1329.0,4.69
2,blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,33.0,19.0,0.2692307640532545,0.0357880247516944,33.51,4.87,15.351999999999999,33.51,119.0,5.0,622.0,1170.0,5.0
3,blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,32.0,63.0,-0.3263157860387812,0.06601806805697145,34.93,5.98,16.364,34.93,144.0,4.91,669.0,1113.0,4.91
4,blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,23.0,9.0,0.4374999863281255,0.027164685885259176,33.86,5.14,15.600000000000001,33.86,101.0,4.78,575.0,884.0,4.78
5,blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,66.0,22.0,0.4999999943181819,0.04480651728879505,30.94,5.09,14.412,30.94,170.0,5.02,861.0,1531.0,5.02
6,blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,30.0,36.0,-0.09090908953168046,0.04228058933870558,29.02,4.94,13.584000000000001,29.02,132.0,4.67,760.0,1181.0,4.67
7,blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,29.0,9.0,0.5263157756232691,0.029710711470124537,31.58,5.1,14.672,31.58,108.0,4.96,576.0,1068.0,4.96
8,blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,30.0,38.0,-0.11764705709342564,0.04792107114311411,29.87,4.76,13.852000000000002,29.87,111.0,4.96,610.0,1139.0,4.96
9,blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,50.0,63.0,-0.11504424676951994,0.04073540012951139,20.75,3.02,9.508000000000001,20.75,162.0,4.71,880.0,2348.0,4.71
10,blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,49.0,16.0,0.507692299881657,0.039039039015592164,32.52,4.6,14.848000000000003,32.52,130.0,4.96,695.0,1358.0,4.96
11,blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,42.0,18.0,0.39999999333333347,0.03363228697666351,31.38,3.54,13.968000000000002,31.38,109.0,4.9,599.0,1420.0,4.9
12,blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,26.0,13.0,0.33333332478632505,0.03526220611639945,45.88,5.05,20.372,45.88,95.0,4.76,472.0,830.0,4.76
13,blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,19.0,24.0,-0.11627906706327752,0.029634734645324096,29.08,4.56,13.456000000000001,29.08,114.0,4.64,663.0,1098.0,4.64
14,blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,37.0,26.0,0.17460317183169569,0.04123036646516337,33.4,4.98,15.351999999999999,33.4,128.0,4.79,760.0,1143.0,4.79
15,blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,37.0,26.0,0.17460317183169569,0.04131147538274657,32.58,4.93,15.004,32.58,127.0,4.77,757.0,1143.0,4.77
16,blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,38.0,10.0,0.5833333211805558,0.03271983637851408,30.81,4.85,14.264,30.81,121.0,4.78,682.0,1129.0,4.78
17,blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,31.0,10.0,0.5121951094586559,0.028671328651278787,40.43,5.23,18.264,40.43,127.0,4.74,697.0,1062.0,4.74
18,blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,49.0,7.0,0.7499999866071432,0.03211009172470752,27.31,3.98,12.516,27.31,125.0,4.71,782.0,1369.0,4.71
19,blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,12.0,1.0,0.8461537810650938,0.012003693433052914,40.48,3.65,17.651999999999997,40.48,68.0,4.62,427.0,754.0,4.62
20,blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,27.0,34.0,-0.11475409647944104,0.043948126769489816,34.57,5.15,15.888,34.57,121.0,4.81,691.0,1062.0,4.81
21,blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,20.0,9.0,0.37931033174791956,0.02944162433559226,36.3,4.61,16.364,36.3,77.0,4.65,479.0,734.0,4.65
22,blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,32.0,15.0,0.3617021199637847,0.030303030283492564,33.66,4.35,15.204,33.66,120.0,4.57,728.0,1221.0,4.57
23,blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,25.0,4.0,0.7241379060642101,0.02600896858653904,47.82,5.36,21.272000000000002,47.82,100.0,4.61,565.0,815.0,4.61
24,blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,22.0,10.0,0.3749999882812504,0.02264685065630088,44.02,3.68,19.080000000000002,44.02,89.0,4.32,672.0,1014.0,4.32
25,blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,30.0,17.0,0.2765957387958354,0.03520599248299176,35.63,4.77,16.160000000000004,35.63,107.0,4.55,675.0,965.0,4.55
26,blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,28.0,18.0,0.21739129962192827,0.030789825949939873,36.57,4.21,16.312,36.57,114.0,4.33,713.0,1092.0,4.33
27,blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,27.0,23.0,0.07999999840000004,0.03469812627710053,40.16,4.98,18.056,40.16,124.0,4.6,713.0,1014.0,4.6
28,blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,51.0,25.0,0.34210525865650976,0.03867684476403214,34.88,5.03,15.964000000000002,34.88,165.0,4.89,898.0,1515.0,4.89
29,blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,44.0,30.0,0.18918918663257855,0.048083170858945305,27.73,3.92,12.66,27.73,112.0,4.37,727.0,1154.0,4.37
30,blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,55.0,25.0,0.37499999531250006,0.04491858503934947,29.67,4.96,13.852000000000002,29.67,156.0,4.73,824.0,1434.0,4.73
31,blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,44.0,20.0,0.3749999941406251,0.03786982246279892,26.89,3.69,12.232000000000001,26.89,112.0,4.45,771.0,1239.0,4.45
32,blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,43.0,25.0,0.26470587846020766,0.0379252648979781,32.6,4.23,14.732,32.6,135.0,4.51,890.0,1322.0,4.51
33,blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,41.0,23.0,0.2812499956054688,0.04292421190950757,31.96,4.64,14.64,31.96,126.0,4.48,761.0,1130.0,4.48
34,blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,23.0,12.0,0.3142857053061227,0.029560810785843907,31.49,4.64,14.451999999999998,31.49,95.0,4.55,553.0,866.0,4.55
35,blackassign0036,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,31.0,14.0,0.37777776938271623,0.03813559318802068,35.1,4.08,15.672,35.1,83.0,4.49,559.0,840.0,4.49
37,blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,55.0,30.0,0.294117643598616,0.042649272432188017,35.8,3.95,15.9,35.8,143.0,4.47,867.0,1510.0,4.47
38,blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,40.0,36.0,0.052631578254847655,0.03794308535299896,28.84,3.88,13.088000000000001,28.84,140.0,4.37,838.0,1426.0,4.37
39,blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,39.0,14.0,0.47169810430758297,0.035883547707594075,32.35,4.91,14.904000000000003,32.35,124.0,4.83,687.0,1231.0,4.83
40,blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,25.0,20.0,0.11111110864197538,0.029239766062872145,25.97,4.23,12.08,25.97,111.0,4.45,698.0,1098.0,4.45
41,blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,45.0,20.0,0.384615378698225,0.039156626482435765,35.21,3.82,15.612000000000002,35.21,117.0,4.54,745.0,1310.0,4.54
42,blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,55.0,16.0,0.5492957669113272,0.04006772006768187,30.48,4.49,13.988,30.48,141.0,4.51,822.0,1356.0,4.51
43,blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,29.0,1.0,0.9333333022222232,0.028011204455638462,42.26,4.56,18.728,42.26,81.0,4.69,490.0,797.0,4.69
44,blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,56.0,29.0,0.31764705508650526,0.049678550526196054,96.41,3.92,40.132000000000005,96.41,121.0,4.59,828.0,1279.0,4.59
45,blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,30.0,2.0,0.874999972656251,0.02484472047760503,29.53,4.23,13.504000000000003,29.53,95.0,4.63,586.0,960.0,4.63
46,blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,17.0,7.0,0.41666664930555625,0.020373514413944385,33.53,4.57,15.240000000000002,33.53,92.0,4.69,579.0,911.0,4.69
47,blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,8.0,5.0,0.23076921301775286,0.013388259512473471,52.7,4.68,22.952,52.7,74.0,4.69,457.0,699.0,4.69
48,blackassign0049,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,blackassign0050,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,26.0,40.0,-0.21212120890725442,0.04282933157506208,37.16,4.57,16.692,37.16,124.0,4.63,769.0,1113.0,4.63
50,blackassign0051,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,20.0,9.0,0.37931033174791956,0.024431339490790783,41.39,4.98,18.548000000000002,41.39,101.0,4.59,592.0,900.0,4.59
51,blackassign0052,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,29.0,14.0,0.3488372011898325,0.023835920164170774,26.03,3.52,11.82,26.03,120.0,4.45,685.0,1451.0,4.45
52,blackassign0053,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,40.0,4.0,0.8181817995867773,0.03728813556162022,31.23,4.6,14.332,31.23,92.0,4.61,564.0,844.0,4.61
53,blackassign0054,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,11.0,1.0,0.8333332638888947,0.011904761892951626,46.23,4.88,20.444000000000003,46.23,79.0,4.63,489.0,688.0,4.63
54,blackassign0055,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,27.0,12.0,0.384615374753452,0.0273109243506226,35.26,4.17,15.772,35.26,103.0,4.44,681.0,960.0,4.44
55,blackassign0056,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,23.0,9.0,0.4374999863281255,0.02777777775366512,46.22,5.96,20.872,46.22,113.0,4.72,573.0,865.0,4.72
56,blackassign0057,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,20.0,10.0,0.33333332222222256,0.03181336157814066,33.39,4.34,15.092000000000002,33.39,71.0,4.65,468.0,711.0,4.65
57,blackassign0058,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,12.0,4.0,0.4999999687500019,0.019002375274343973,43.74,5.46,19.680000000000003,43.74,74.0,4.71,410.0,609.0,4.71
58,blackassign0059,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,27.0,24.0,0.05882352825836219,0.04311073538198585,28.45,4.69,13.256,28.45,100.0,4.42,596.0,887.0,4.42
59,blackassign0060,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,13.0,4.0,0.5294117335640156,0.019607843114639166,51.52,5.25,22.708000000000002,51.52,73.0,4.72,417.0,627.0,4.72
60,blackassign0061,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,32.0,18.0,0.2799999944000001,0.033579583590611424,33.6,5.04,15.456000000000001,33.6,127.0,4.89,719.0,1167.0,4.89
61,blackassign0062,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,19.0,13.0,0.1874999941406252,0.030018761697918606,33.76,4.55,15.323999999999998,33.76,83.0,4.57,537.0,749.0,4.57
62,blackassign0063,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,25.0,33.0,-0.1379310321046374,0.04367469876229314,32.1,3.93,14.412,32.1,92.0,4.55,648.0,1000.0,4.55
63,blackassign0064,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,25.0,38.0,-0.20634920307382218,0.03616532718934252,33.63,5.16,15.516000000000004,33.63,163.0,4.65,888.0,1390.0,4.65
64,blackassign0065,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,36.0,21.0,0.26315789012003704,0.03437876958119495,34.08,4.19,15.308,34.08,130.0,4.43,840.0,1203.0,4.43
65,blackassign0066,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,36.0,24.0,0.19999999666666674,0.037617554835349495,28.63,4.99,13.448,28.63,143.0,4.36,875.0,1136.0,4.36
66,blackassign0067,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,25.0,8.0,0.5151514995408637,0.02867072108716705,26.17,4.19,12.144000000000002,26.17,91.0,4.38,570.0,901.0,4.38
67,blackassign0068,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,34.0,8.0,0.6190476043083905,0.02918693535150317,32.06,3.86,14.368000000000002,32.06,109.0,4.25,706.0,971.0,4.25
68,blackassign0069,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,28.0,6.0,0.6470588044982705,0.03423967770972842,53.47,4.32,23.116,53.47,74.0,4.49,467.0,719.0,4.49
69,blackassign0070,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,33.0,13.0,0.43478259924385654,0.026853473422735856,34.26,4.93,15.676,34.26,147.0,4.58,800.0,1270.0,4.58
70,blackassign0071,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,28.0,48.0,-0.2631578912742383,0.05965463103637784,24.65,4.91,11.824,24.65,115.0,4.36,661.0,944.0,4.36
71,blackassign0072,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,31.0,18.0,0.2653061170345691,0.03597650511308626,25.26,3.4,11.464,25.26,86.0,4.3,635.0,962.0,4.3
72,blackassign0073,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,19.0,21.0,-0.04999999875000003,0.026755852824912472,35.11,3.36,15.388,35.11,85.0,4.52,638.0,1013.0,4.52
73,blackassign0074,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,28.0,24.0,0.07692307544378701,0.03254067582444263,27.99,4.62,13.044,27.99,132.0,4.53,729.0,1197.0,4.53
74,blackassign0075,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,28.0,53.0,-0.3086419714982473,0.06225980010587255,24.46,4.84,11.72,24.46,116.0,4.38,680.0,976.0,4.38
75,blackassign0076,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,36.0,25.0,0.1803278658962645,0.03824451408260532,36.16,3.62,15.911999999999999,36.16,106.0,4.43,753.0,1184.0,4.43
76,blackassign0077,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,16.0,11.0,0.18518517832647488,0.022556390958599504,49.9,4.4,21.72,49.9,90.0,4.66,570.0,880.0,4.66
77,blackassign0078,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,26.0,23.0,0.06122448854643901,0.03322033896052858,45.21,4.54,19.900000000000002,45.21,115.0,4.7,720.0,1030.0,4.7
78,blackassign0079,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,32.0,39.0,-0.0985915479071613,0.040922190178142824,31.88,4.0,14.351999999999999,31.88,125.0,4.53,841.0,1362.0,4.53
79,blackassign0080,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,16.0,10.0,0.23076922189349144,0.008578027050947533,23.89,3.95,11.136000000000001,23.89,204.0,4.19,1099.0,1673.0,4.19
80,blackassign0081,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,37.0,39.0,-0.026315789127423828,0.04439252333855576,30.51,4.36,13.948000000000002,30.51,137.0,4.58,862.0,1312.0,4.58
81,blackassign0082,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,24.0,41.0,-0.261538457514793,0.03803393795316914,35.69,4.91,16.24,35.69,142.0,4.79,798.0,1354.0,4.79
82,blackassign0083,https://insights.blackcoffer.com/human-rights-outlook/,10.0,4.0,0.42857139795918586,0.015927189970503765,52.93,4.69,23.048000000000002,52.93,67.0,4.59,382.0,614.0,4.59
83,blackassign0084,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,39.0,6.0,0.7333333170370374,0.03256150504156186,35.5,3.48,15.591999999999999,35.5,84.0,4.35,624.0,975.0,4.35
84,blackassign0085,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,25.0,31.0,-0.10714285522959188,0.03343283580093562,22.53,3.79,10.528,22.53,122.0,4.48,786.0,1302.0,4.48
85,blackassign0086,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,43.0,16.0,0.4576271108876761,0.03263274334478277,28.1,4.33,12.972000000000001,28.1,140.0,4.47,873.0,1277.0,4.47
86,blackassign0087,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,24.0,23.0,0.021276595291987336,0.033595425279774535,37.47,4.3,16.708,37.47,103.0,4.55,683.0,986.0,4.55
87,blackassign0088,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,20.0,26.0,-0.13043477977315696,0.024824608729182615,38.35,4.34,17.076,38.35,138.0,4.58,820.0,1331.0,4.58
88,blackassign0089,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,21.0,29.0,-0.15999999680000007,0.03808073112103524,33.32,4.06,14.952000000000002,33.32,92.0,4.54,677.0,993.0,4.54
89,blackassign0090,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,37.0,27.0,0.15624999755859378,0.046276211101752555,28.11,4.27,12.951999999999998,28.11,108.0,4.49,692.0,1088.0,4.49
90,blackassign0091,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,23.0,19.0,0.0952380929705216,0.030701754363522106,43.96,4.72,19.472,43.96,112.0,4.62,688.0,1059.0,4.62
91,blackassign0092,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,22.0,32.0,-0.18518518175583,0.03327171901831687,35.32,4.52,15.936000000000002,35.32,123.0,4.54,816.0,1179.0,4.54
92,blackassign0093,https://insights.blackcoffer.com/travel-and-tourism-outlook/,11.0,4.0,0.46666663555555765,0.01762632195343558,53.65,4.87,23.408,53.65,68.0,4.54,412.0,598.0,4.54
93,blackassign0094,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,35.0,44.0,-0.11392404919083482,0.0564285713882653,29.52,4.6,13.648,29.52,114.0,4.43,801.0,1007.0,4.43
94,blackassign0095,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,13.0,25.0,-0.31578946537396146,0.03362831855431122,34.71,4.35,15.624000000000002,34.71,83.0,4.47,588.0,826.0,4.47
95,blackassign0096,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,25.0,38.0,-0.20634920307382218,0.04477611937116125,34.93,5.02,15.980000000000002,34.93,121.0,4.73,699.0,1053.0,4.73
96,blackassign0097,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,21.0,27.0,-0.1249999973958334,0.03738317754097883,41.96,3.47,18.172,41.96,83.0,4.43,620.0,976.0,4.43
97,blackassign0098,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,11.0,3.0,0.5714285306122479,0.013579049453366585,43.74,5.35,19.636000000000003,43.74,89.0,4.66,491.0,770.0,4.66
98,blackassign0099,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,20.0,4.0,0.66666663888889,0.020761245656780926,36.68,4.27,16.380000000000003,36.68,83.0,4.45,535.0,794.0,4.45
99,blackassign0100,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
